city,run_type,nodes,num_vehicles,num_requests,seed,trial,rtv_graph_build_time,percent_serviced,avg_waiting_time,max_waiting_time,avg_detour_factor,max_detour_factor,vmt,total_run_time,solve_time,qubo_build_time,time_min_cost_prep,time_qubo_gen,time_compress,time_quantum_solve,time_decode,time_vehicle_assignment,time_metrics_calc,time_struct_stats,time_total_quantum_block,ilp_num_vars,ilp_num_constraints,ilp_num_integer_vars,ilp_num_nonzero_coeffs,energy_gap,argmin_preservation,condition_number,real_quantum_hardware,K,infeasible_windows,arrival_violations,mean_slack,min_slack,max_slack,p25_slack,median_slack,p75_slack,base_qubo_vars,base_qubo_couplers,base_qubo_graph_density,base_node_density_avg,base_node_density_max,base_node_density_min,base_degree_avg,base_degree_max,base_degree_min,base_qubo_max_abs,base_qubo_min_nonzero_abs,base_qubo_dynamic_range,comp_qubo_vars,comp_qubo_couplers,comp_qubo_graph_density,comp_node_density_avg,comp_node_density_max,comp_node_density_min,comp_degree_avg,comp_degree_max,comp_degree_min,comp_qubo_max_abs,comp_qubo_min_nonzero_abs,comp_qubo_dynamic_range,qubo_logical_qubits,time_greedy_build_candidates,greedy_edges_total,time_greedy_sort,time_greedy_select,time_greedy_total,greedy_sort_work,greedy_assignments
32_Phoenix_City,Quantum,15324,40,40,404044,3,3.031290949999857,95.0,244.9962231118136,1740.7801681574574,1.3195372629366864,2.1269138898337223,12165.967741327546,53.33173301000011,53.25099238300004,0.021212805999994,0.005298810999875,0.015913995000119,,53.25099238300004,0.000709100999984,0.0458459279998351,0.0030191480000212,0.0099480979999952,53.33173301000011,,,,,,,,0.0,,0,40,3042.925,1213.0,4792.0,2016.75,3209.5,4097.25,2081.0,4122.0,0.0019045946845081,0.0038091893690163,0.0038461538461538,0.0019230769230769,7.92311388755406,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,40,40,404045,4,2.8374307089998183,100.0,468.6549237958136,1604.901673419913,1.226840066821625,2.2639535479693778,9975.199534229336,1.0359208790000594,1.033748340000102,,,,,,,,,,,20913.0,80.0,20913.0,61415.0,,,,,,0,37,3137.825,1260.0,4794.0,2174.25,3282.0,4151.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,40,40,404045,4,2.8374307089998183,90.0,432.3367415814208,1700.9621234084484,1.8914435463375752,3.5844887461013086,13067.79869543575,51.47750816099983,51.433402531999945,0.0116513900002246,0.0026761870001337,0.0089752030000909,,51.433402531999945,0.0004085360001226,0.0240134909997777,0.002029296000046,0.0059997030000431,51.47750816099983,,,,,,,,0.0,,0,37,3137.825,1260.0,4794.0,2174.25,3282.0,4151.75,2099.0,4158.0,0.0018884111595198,0.0037768223190397,0.0038131553860819,0.0019065776930409,7.923773225345402,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,40,40,404046,5,2.597994659000051,100.0,501.2749177131438,1743.0017088657578,1.0304952135507732,2.18451093074484,9811.04412258116,0.9114311480000196,0.909342530999993,,,,,,,,,,,19453.0,80.0,19453.0,57115.0,,,,,,0,36,3043.55,1205.0,4674.0,1982.5,3147.5,3919.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,40,40,404046,5,2.597994659000051,95.0,583.0499677600671,1797.831990293364,1.492111969277654,2.008079712760234,13467.88811919688,51.09973246100003,51.05253362999997,0.0113292480002655,0.0025448000001233,0.0087844480001422,,51.05253362999997,0.0004334679999828,0.0281295429999772,0.0018544720001045,0.0054477179999139,51.09973246100003,,,,,,,,0.0,,0,36,3043.55,1205.0,4674.0,1982.5,3147.5,3919.75,2072.0,4104.0,0.0019127909036165,0.0038255818072331,0.0038628681796233,0.0019314340898116,7.922779922779923,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,40,80,804042,1,7.194607923999911,93.75,460.2228725205159,1785.3930612648978,1.1170731831524567,1.9524729198237327,15791.199775716552,5.9543381770001815,5.94738147399994,,,,,,,,,,,87739.0,120.0,87739.0,260512.0,,,,,,0,79,3093.7,1280.0,4790.0,2252.25,2886.0,4046.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,40,80,804042,1,7.194607923999911,92.5,437.1967431499273,1799.72684463948,1.5132175839318538,2.952253638135696,20549.653882608844,133.73269956399986,133.5971828679999,0.0634944089999862,0.0172070930000245,0.0462873159999617,,133.5971828679999,0.0011188879998371,0.0501641350001591,0.0045329720001063,0.0162004179996984,133.73269956399986,,,,,,,,0.0,,0,79,3093.7,1280.0,4790.0,2252.25,2886.0,4046.25,5272.0,10464.0,0.0007531115511938,0.0015062231023877,0.0015177385695313,0.0007588692847656,7.939301972685888,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,40,80,804043,2,7.726831767000021,93.75,427.7495420517145,1720.8493764911927,1.0981339236208634,2.5823860710461024,17308.637826788537,4.944496153999808,4.940261494000424,,,,,,,,,,,85567.0,120.0,85567.0,254011.0,,,,,,0,76,2928.475,1201.0,4785.0,2005.75,2918.0,3864.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,40,80,804043,2,7.726831767000021,95.0,422.6365631735701,1779.1977656334047,1.4063061596682092,3.3385523913876027,23416.343115992186,125.03264584599992,124.93591368600028,0.0317450180000378,0.0089856449999388,0.022759373000099,,124.93591368600028,0.0011078840002483,0.0475509449997844,0.0036238849997971,0.0127008300000852,125.03264584599992,,,,,,,,0.0,,0,76,2928.475,1201.0,4785.0,2005.75,2918.0,3864.75,4954.0,9828.0,0.0008010706372644,0.0016021412745288,0.0016151827175449,0.0008075913587724,7.935405732741219,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,40,80,804044,3,5.705401582999912,88.75,484.32196651602186,1774.1166917374303,1.0822045490222656,1.9054164493041623,14750.70653356867,5.0515364650000265,5.047625458000312,,,,,,,,,,,72127.0,120.0,72127.0,213936.0,,,,,,0,72,2966.425,1227.0,4785.0,2214.75,2787.5,3788.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,40,80,804044,3,5.705401582999912,92.5,725.7181595089244,1794.1023935938988,1.5232205396480791,3.1268256562913006,21518.746088237047,128.28444335299992,128.14235642199992,0.0316783260000193,0.0083038019997729,0.0233745240002463,,128.14235642199992,0.0016962409999905,0.0788813220001429,0.0058303480000176,0.0239955919996646,128.28444335299992,,,,,,,,0.0,,0,72,2966.425,1227.0,4785.0,2214.75,2787.5,3788.5,5092.0,10104.0,0.0007795282187826,0.0015590564375652,0.0015714005107051,0.0007857002553525,7.937156323644933,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,40,80,804045,4,6.5343099480001,95.0,455.5162018043571,1786.0812286126952,0.9704013358306588,1.7794573371498985,16526.526876865828,6.379111330999876,6.3748677489998045,,,,,,,,,,,88739.0,120.0,88739.0,263479.0,,,,,,0,77,2854.9625,1232.0,4689.0,1996.75,2795.5,3737.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
